Country, Region, Timezone, Currencies
Afghanistan, APJ, "['UTC+04:30']", "['AFN']"
Aland Islands, EMEA, "['UTC+02:00']", "['EUR']"
Albania, EMEA, "['UTC+01:00']", "['ALL']"
Algeria, EMEA, "['UTC+01:00']", "['DZD']"
American Samoa, APJ, "['UTC-11:00']", "['USD']"
Andorra, EMEA, "['UTC+01:00']", "['EUR']"
Angola, EMEA, "['UTC+01:00']", "['AOA']"
Anguilla, LATAM, "['UTC-04:00']", "['XCD']"
Antigua and Barbuda, LATAM, "['UTC-04:00']", "['XCD']"
Argentina, LATAM, "['UTC-03:00']", "['ARS']"
Armenia, EMEA, "['UTC+04:00']", "['AMD']"
Aruba, LATAM, "['UTC-04:00']", "['AWG']"
Australia, APJ, "['UTC+05:00', 'UTC+06:30', 'UTC+07:00', 'UTC+08:00', 'UTC+09:30', 'UTC+10:00', 'UTC+10:30', 'UTC+11:30']", "['AUD']"
Austria, EMEA, "['UTC+01:00']", "['EUR']"
Azerbaijan, EMEA, "['UTC+04:00']", "['AZN']"
The Bahamas, LATAM, "['UTC-05:00']", "['BSD']"
Bahrain, EMEA, "['UTC+03:00']", "['BHD']"
Bangladesh, APJ, "['UTC+06:00']", "['BDT']"
Barbados, LATAM, "['UTC-04:00']", "['BBD']"
Belarus, EMEA, "['UTC+03:00']", "['BYR']"
Belgium, EMEA, "['UTC+01:00']", "['EUR']"
Belize, LATAM, "['UTC-06:00']", "['BZD']"
Benin, EMEA, "['UTC+01:00']", "['XOF']"
Bermuda, AMS, "['UTC-04:00']", "['BMD']"
Bhutan, APJ, "['UTC+06:00']", "['BTN', 'INR']"
Bolivia, LATAM, "['UTC-04:00']", "['BOB', 'BOV']"
Bonaire, LATAM, "['UTC-04:00']", "['USD']"
Bosnia and Herzegovina, EMEA, "['UTC+01:00']", "['BAM']"
Botswana, EMEA, "['UTC+02:00']", "['BWP']"
Brazil, LATAM, "['UTC-05:00', 'UTC-04:00', 'UTC-03:00', 'UTC-02:00']", "['BRL']"
British Indian Ocean Territory, EMEA, "['UTC+06:00']", "['USD']"
United States Minor Outlying Islands, AMS, "['UTC-11:00', 'UTC-10:00', 'UTC+12:00']", "['USD']"
Virgin Islands (British), LATAM, "['UTC-04:00']", "['USD']"
Virgin Islands (U.S.), LATAM, "['UTC-04:00']", "['USD']"
Brunei, APJ, "['UTC+08:00']", "['BND']"
Bulgaria, EMEA, "['UTC+02:00']", "['BGN']"
Burkina Faso, EMEA, "['UTC']", "['XOF']"
Burundi, EMEA, "['UTC+02:00']", "['BIF']"
Cambodia, APJ, "['UTC+07:00']", "['KHR']"
Cameroon, EMEA, "['UTC+01:00']", "['XAF']"
Canada, AMS, "['UTC-08:00', 'UTC-07:00', 'UTC-06:00', 'UTC-05:00', 'UTC-04:00', 'UTC-03:30']", "['CAD']"
Cape Verde, EMEA, "['UTC-01:00']", "['CVE']"
Cayman Islands, LATAM, "['UTC-05:00']", "['KYD']"
Central African Republic, EMEA, "['UTC+01:00']", "['XAF']"
Chad, EMEA, "['UTC+01:00']", "['XAF']"
Chile, LATAM, "['UTC-06:00', 'UTC-04:00']", "['CLF', 'CLP']"
China, APJ, "['UTC+08:00']", "['CNY']"
Christmas Island, APJ, "['UTC+07:00']", "['AUD']"
Cocos (Keeling) Islands, APJ, "['UTC+06:30']", "['AUD']"
Colombia, LATAM, "['UTC-05:00']", "['COP']"
Comoros, EMEA, "['UTC+03:00']", "['KMF']"
Republic of the Congo, EMEA, "['UTC+01:00']", "['XAF']"
Democratic Republic of the Congo, EMEA, "['UTC+01:00', 'UTC+02:00']", "['CDF']"
Cook Islands, APJ, "['UTC-10:00']", "['NZD']"
Costa Rica, LATAM, "['UTC-06:00']", "['CRC']"
Croatia, EMEA, "['UTC+01:00']", "['HRK']"
Cuba, LATAM, "['UTC-05:00']", "['CUC', 'CUP']"
Curacao, LATAM, "['UTC-04:00']", "['ANG']"
Cyprus, EMEA, "['UTC+02:00']", "['EUR']"
Czech Republic, EMEA, "['UTC+01:00']", "['CZK']"
Denmark, EMEA, "['UTC-04:00', 'UTC-03:00', 'UTC-01:00', 'UTC', 'UTC+01:00']", "['DKK']"
Djibouti, EMEA, "['UTC+03:00']", "['DJF']"
Dominica, LATAM, "['UTC-04:00']", "['XCD']"
Dominican Republic, LATAM, "['UTC-04:00']", "['DOP']"
Ecuador, LATAM, "['UTC-06:00', 'UTC-05:00']", "['USD']"
Egypt, EMEA, "['UTC+02:00']", "['EGP']"
El Salvador, LATAM, "['UTC-06:00']", "['SVC', 'USD']"
Equatorial Guinea, EMEA, "['UTC+01:00']", "['XAF']"
Eritrea, EMEA, "['UTC+03:00']", "['ERN']"
Estonia, EMEA, "['UTC+02:00']", "['EUR']"
Ethiopia, EMEA, "['UTC+03:00']", "['ETB']"
Falkland Islands, LATAM, "['UTC-04:00']", "['FKP']"
Faroe Islands, EMEA, "['UTC+00:00']", "['DKK']"
Fiji, APJ, "['UTC+12:00']", "['FJD']"
Finland, EMEA, "['UTC+02:00']", "['EUR']"
France, EMEA, "['UTC-10:00', 'UTC-09:30', 'UTC-09:00', 'UTC-08:00', 'UTC-04:00', 'UTC-03:00', 'UTC+01:00', 'UTC+03:00', 'UTC+04:00', 'UTC+05:00', 'UTC+11:00', 'UTC+12:00']", "['EUR']"
French Guiana, LATAM, "['UTC-03:00']", "['EUR']"
French Polynesia, APJ, "['UTC-10:00', 'UTC-09:30', 'UTC-09:00']", "['XPF']"
French Southern and Antarctic Lands, EMEA, "['UTC+05:00']", "['EUR']"
Gabon, EMEA, "['UTC+01:00']", "['XAF']"
The Gambia, EMEA, "['UTC+00:00']", "['GMD']"
Georgia, EMEA, "['UTC-05:00']", "['GEL']"
Germany, EMEA, "['UTC+01:00']", "['EUR']"
Ghana, EMEA, "['UTC']", "['GHS']"
Gibraltar, EMEA, "['UTC+01:00']", "['GIP']"
Greece, EMEA, "['UTC+02:00']", "['EUR']"
Greenland, AMS, "['UTC-04:00', 'UTC-03:00', 'UTC-01:00', 'UTC+00:00']", "['DKK']"
Grenada, LATAM, "['UTC-04:00']", "['XCD']"
Guadeloupe, LATAM, "['UTC-04:00']", "['EUR']"
Guam, APJ, "['UTC+10:00']", "['USD']"
Guatemala, LATAM, "['UTC-06:00']", "['GTQ']"
Guernsey, EMEA, "['UTC+00:00']", "['GBP']"
Guinea, EMEA, "['UTC']", "['GNF']"
Guinea-Bissau, EMEA, "['UTC']", "['XOF']"
Guyana, LATAM, "['UTC-04:00']", "['GYD']"
Haiti, LATAM, "['UTC-05:00']", "['HTG', 'USD']"
Holy See, EMEA, "['UTC+01:00']", "['EUR']"
Honduras, LATAM, "['UTC-06:00']", "['HNL']"
Hong Kong, APJ, "['UTC+08:00']", "['HKD']"
Hungary, EMEA, "['UTC+01:00']", "['HUF']"
Iceland, EMEA, "['UTC']", "['ISK']"
India, APJ, "['UTC+05:30']", "['INR']"
Indonesia, APJ, "['UTC+07:00', 'UTC+08:00', 'UTC+09:00']", "['IDR']"
Ivory Coast, EMEA, "['UTC']", "['XOF']"
Iran, APJ, "['UTC+03:30']", "['IRR']"
Iraq, EMEA, "['UTC+03:00']", "['IQD']"
Republic of Ireland, EMEA, "['UTC']", "['EUR']"
Isle of Man, EMEA, "['UTC+00:00']", "['GBP']"
Israel, EMEA, "['UTC+02:00']", "['ILS']"
Italy, EMEA, "['UTC+01:00']", "['EUR']"
Jamaica, LATAM, "['UTC-05:00']", "['JMD']"
Japan, APJ, "['UTC+09:00']", "['JPY']"
Jersey, EMEA, "['UTC+01:00']", "['GBP']"
Jordan, EMEA, "['UTC+03:00']", "['JOD']"
Kazakhstan, APJ, "['UTC+05:00', 'UTC+06:00']", "['KZT']"
Kenya, EMEA, "['UTC+03:00']", "['KES']"
Kiribati, APJ, "['UTC+12:00', 'UTC+13:00', 'UTC+14:00']", "['AUD']"
Kuwait, EMEA, "['UTC+03:00']", "['KWD']"
Kyrgyzstan, APJ, "['UTC+06:00']", "['KGS']"
