Africa/Abidjan, GMT, UTC +0:00
Africa/Accra, GHST, UTC +0:00
Africa/Addis_Ababa, ADMT, UTC +3:00
Africa/Algiers, CEST, UTC +1:00
Africa/Asmara, ADMT, UTC +3:00
Africa/Bamako, GMT, UTC +0:00
Africa/Bangui, WAT, UTC +1:00
Africa/Banjul, GMT, UTC +0:00
Africa/Bissau, GMT, UTC +0:00
Africa/Blantyre, CAT, UTC +2:00
Africa/Brazzaville, WAT, UTC +1:00
Africa/Bujumbura, CAT, UTC +2:00
Africa/Cairo, EEST, UTC +2:00
Africa/Casablanca, CET, UTC +0:00
Africa/Ceuta, CEST, UTC +1:00
Africa/Conakry, GMT, UTC +0:00
Africa/Dakar, GMT, UTC +0:00
Africa/Dar_es_Salaam, BEAUT, UTC +3:00
Africa/Djibouti, EAT, UTC +3:00
Africa/Douala, WAT, UTC +1:00
Africa/El_Aaiun, WAT, UTC +0:00
Africa/Freetown, GMT, UTC +0:00
Africa/Gaborone, CAST, UTC +2:00
Africa/Harare, CAT, UTC +2:00
Africa/Johannesburg, SAST, UTC +2:00
Africa/Juba, CAST, UTC +3:00
Africa/Kampala, BEAT, UTC +3:00
Africa/Khartoum, CAST, UTC +3:00
Africa/Kigali, CAT, UTC +2:00
Africa/Kinshasa, WAT, UTC +1:00
Africa/Lagos, WAT, UTC +1:00
Africa/Libreville, WAT, UTC +1:00
Africa/Lome, GMT, UTC +0:00
Africa/Luanda, AOT, UTC +1:00
Africa/Lubumbashi, CAT, UTC +2:00
Africa/Lusaka, CAT, UTC +2:00
Africa/Malabo, GMT, UTC +1:00
Africa/Maputo, CAT, UTC +2:00
Africa/Maseru, SAST, UTC +2:00
Africa/Mbabane, SAST, UTC +2:00
Africa/Mogadishu, BEAT, UTC +3:00
Africa/Monrovia, GMT, UTC +0:00
Africa/Nairobi, BEAT, UTC +3:00
Africa/Ndjamena, WAST, UTC +1:00
Africa/Niamey, GMT, UTC +1:00
Africa/Nouakchott, GMT, UTC +0:00
